Date,Open,High,Low,Close,Volume,MA7,MA21,MA50,RSI,MACD,MACD_Signal,MACD_Hist,Day_of_Week,Month,Year
2015-02-19,236.41000366210938,242.6719970703125,235.5919952392578,240.2830047607422,18270500,240.23357500348772,229.34700230189733,241.69314025878907,52.001866334599704,-0.5139269241115301,-3.333997268560001,2.820070344448471,3,2,2015
2015-02-20,240.25100708007812,247.1009979248047,239.2989959716797,243.7790069580078,23876700,241.42671857561385,230.17338344029017,240.2837405395508,53.46475736862377,0.22414713566709565,-2.6223683877145816,2.8465155233816772,4,2,2015
2015-02-21,243.7519989013672,255.32000732421875,243.1840057373047,244.53399658203125,12284200,239.6000017438616,231.4624306815011,238.87378021240235,53.792291099682345,0.8600829971175585,-1.9258781107481535,2.7859611078657123,5,2,2015
2015-02-22,244.54400634765625,246.39199829101562,233.8509979248047,235.9770050048828,19527000,239.7645743233817,231.89124043782553,237.97168029785155,49.5366455473916,0.6659128140697987,-1.4075199257845632,2.073432739854362,6,2,2015
2015-02-23,235.9949951171875,240.10899353027344,232.42100524902344,238.89199829101562,16400000,240.48585946219308,231.92281159900483,237.4656201171875,50.95994885649376,0.738731504717407,-0.9782696396841692,1.7170011444015763,0,2,2015
2015-02-24,238.9980010986328,239.9010009765625,236.40199279785156,238.73500061035156,14200400,239.78943089076452,232.46885899135046,236.7508401489258,50.876718683420556,0.7748405612719012,-0.6276475994929552,1.4024881607648565,1,2,2015
2015-02-25,238.88999938964844,239.33999633789062,235.52999877929688,237.47000122070312,11496200,239.9528590611049,232.97443062918526,235.77646026611328,50.165765471715474,0.6933894085575218,-0.36344019788285975,1.0568296064403815,2,2,2015
2015-02-26,237.33700561523438,237.7100067138672,234.2570037841797,236.42599487304688,13619400,239.40185764857702,233.89419265020462,234.61824005126954,49.550353149630894,0.5383899716200347,-0.18307416398228088,0.7214641356023155,3,2,2015
2015-02-27,236.43600463867188,256.65301513671875,236.43600463867188,253.8280029296875,44013900,240.8374285016741,235.3971448625837,234.02782012939454,58.654992180587264,1.7990105429637708,0.21334277740692947,1.5856677655568414,4,2,2015
2015-02-28,253.52000427246094,254.69200134277344,249.47900390625,254.26300048828125,13949300,242.22728620256697,236.65947832380022,233.3049203491211,58.854884004223074,2.8008753480586392,0.7308492915372715,2.0700260565213675,5,2,2015
2015-03-01,254.2830047607422,261.6600036621094,245.93299865722656,260.2019958496094,25213700,245.68799918038505,238.41138276599702,233.01304046630858,61.58560188804787,4.027659365511738,1.3902113063321648,2.6374480591795733,6,3,2015
2015-03-02,260.35699462890625,276.3009948730469,258.31298828125,275.6700134277344,40465700,250.94200134277344,241.05709766206286,233.2132406616211,67.61423738091904,6.176831614870878,2.3475353680399076,3.82929624683097,0,3,2015
2015-03-03,275.0459899902344,285.7959899902344,268.1610107421875,281.7019958496094,50461300,257.0801435198103,244.0029543922061,233.4913607788086,69.61672427190203,8.271448566229168,3.53231800767776,4.739130558551408,1,3,2015
2015-03-04,281.989990234375,284.2250061035156,268.1260070800781,273.0920104980469,41383000,262.1690019880022,246.56995500837053,234.43598114013673,63.57413542386723,9.131432262852769,4.652140858712762,4.479291404140007,2,3,2015
2015-03-05,272.739013671875,281.6669921875,264.7690124511719,276.1780090332031,41302400,267.84786115373885,249.16109793526786,236.39748138427734,64.75496018770156,9.947323278534952,5.711177342677201,4.236145935857752,3,3,2015
2015-03-06,275.6000061035156,277.6080017089844,270.0150146484375,272.7229919433594,28918900,270.5471452985491,250.93709745861236,237.65506134033203,62.31918870060915,10.197580422930457,6.608457958727852,3.589122464202605,4,3,2015
2015-03-07,272.29400634765625,277.85400390625,270.13299560546875,276.260986328125,17825900,273.68971470424106,251.83900088355654,239.01834106445312,63.8199920238079,10.559672262789377,7.398700819540157,3.1609714432492195,5,3,2015
